
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Pressure: 9am only
Station,Date(NZST),Pmsl(hPa),Pstn(hPa),tend,amt(hPa),a24(hPa)
Auckland Aero,20040112:0800,1018.7,-,2,1.5,-
Auckland Aero,20040113:0800,1013.9,-,7,0.2,-
Auckland Aero,20040114:0800,1014.9,-,-,-,-
Auckland Aero,20040115:0800,1014.6,-,-,-,-
Auckland Aero,20040116:0800,1017.9,-,-,-,-
Auckland Aero,20040117:0800,1022.5,-,2,1.8,-
Auckland Aero,20040118:0800,1021.7,-,4,0.0,-
Auckland Aero,20040119:0800,1015.1,-,7,1.0,-
Auckland Aero,20040120:0800,1010.8,-,7,0.3,-
Auckland Aero,20040121:0800,1006.7,-,7,1.3,-
Auckland Aero,20040122:0800,1010.1,-,2,1.7,-
Auckland Aero,20040123:0800,1013.5,-,2,1.3,-
Auckland Aero,20040124:0800,1016.1,-,2,1.6,-
Auckland Aero,20040125:0800,1019.8,-,2,0.7,-
Auckland Aero,20040126:0800,1019.8,-,2,0.9,-
Auckland Aero,20040127:0800,1018.0,-,2,0.9,-
Auckland Aero,20040128:0800,1019.2,-,2,1.1,-
Auckland Aero,20040129:0800,1020.1,-,2,0.8,-
Auckland Aero,20040130:0800,1016.2,-,7,0.3,-
Auckland Aero,20040131:0800,1013.2,-,2,0.5,-
Auckland Aero,20040201:0800,1012.0,-,4,0.0,-
Auckland Aero,20040202:0800,1005.8,-,7,0.4,-
Auckland Aero,20040203:0800,1008.3,-,2,0.8,-
Auckland Aero,20040204:0800,1003.7,-,7,0.3,-
Auckland Aero,20040205:0800,1003.9,-,2,3.4,-
Auckland Aero,20040206:0800,1017.0,-,2,1.9,-
Auckland Aero,20040207:0800,1019.4,-,2,0.7,-
Auckland Aero,20040208:0800,1016.5,-,2,0.6,-
Auckland Aero,20040209:0800,1020.9,-,2,1.5,-
Auckland Aero,20040210:0800,1018.9,-,2,1.7,-
Auckland Aero,20040211:0800,1017.7,-,2,0.6,-
Auckland Aero,20040212:0800,1011.1,-,2,0.3,-
Auckland Aero,20040213:0800,1015.7,-,2,1.3,-
Auckland Aero,20040214:0800,1004.6,-,2,2.0,-
Auckland Aero,20040215:0800,993.3,-,2,0.8,-
Auckland Aero,20040216:0800,995.4,-,2,3.0,-
Auckland Aero,20040217:0800,1001.7,-,2,3.2,-
Auckland Aero,20040218:0800,1012.6,-,2,1.6,-
Auckland Aero,20040219:0800,1012.0,-,4,0.0,-
Auckland Aero,20040220:0800,995.9,-,2,2.2,-
Auckland Aero,20040221:0800,1002.5,-,2,0.5,-
