Station,Date(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
Auckland, Sky Tower,20220113:1100,115,3.3,42.0,1.5,1,H
Auckland, Sky Tower,20220113:1200,81,6.0,12.0,1.7,1,H
Auckland, Sky Tower,20220113:1300,77,8.2,6.6,1.2,1,H
Auckland, Sky Tower,20220113:1400,65,10.5,6.4,1.6,1,H
Auckland, Sky Tower,20220113:1500,62,11.4,3.7,0.8,1,H
Auckland, Sky Tower,20220113:1600,61,12.9,4.0,1.1,1,H
Auckland, Sky Tower,20220113:1700,60,11.8,4.9,1.4,1,H
Auckland, Sky Tower,20220113:1800,62,12.8,4.2,1.1,1,H
Auckland, Sky Tower,20220113:1900,65,14.4,3.3,1.1,1,H
Auckland, Sky Tower,20220113:2000,66,14.5,3.4,0.9,1,H
Auckland, Sky Tower,20220113:2100,67,13.7,3.3,1.2,1,H
Auckland, Sky Tower,20220113:2200,69,13.2,4.8,1.6,1,H
Auckland, Sky Tower,20220113:2300,67,13.7,3.7,1.0,1,H
Auckland, Sky Tower,20220114:0000,65,14.4,3.6,1.2,1,H
Auckland, Sky Tower,20220114:0100,74,10.2,7.4,1.7,1,H
Auckland, Sky Tower,20220114:0200,76,10.7,3.1,1.5,1,H
Auckland, Sky Tower,20220114:0300,74,8.5,5.5,1.2,1,H
Auckland, Sky Tower,20220114:0400,77,8.6,3.9,1.3,1,H
Auckland, Sky Tower,20220114:0500,88,7.0,5.8,0.8,1,H
Auckland, Sky Tower,20220114:0600,94,7.4,3.6,0.5,1,H
Auckland, Sky Tower,20220114:0700,95,6.4,8.7,1.3,1,H
Auckland, Sky Tower,20220114:0800,95,4.3,13.2,1.5,1,H
Auckland, Sky Tower,20220114:0900,84,6.4,9.3,1.7,1,H
Auckland, Sky Tower,20220114:1000,82,6.7,5.4,0.9,1,H
Auckland, Sky Tower,20220114:1100,76,6.1,6.9,0.8,1,H
Auckland, Sky Tower,20220114:1200,68,6.8,8.5,1.0,1,H
Auckland, Sky Tower,20220114:1300,65,7.6,5.0,0.6,1,H
Auckland, Sky Tower,20220114:1400,60,7.8,5.6,0.8,1,H
Auckland, Sky Tower,20220114:1500,64,8.8,5.8,0.9,1,H
Auckland, Sky Tower,20220114:1600,67,8.2,5.3,0.7,1,H
Auckland, Sky Tower,20220114:1700,70,8.1,5.8,1.1,1,H
Auckland, Sky Tower,20220114:1800,62,8.4,5.0,0.9,1,H
Auckland, Sky Tower,20220114:1900,60,8.4,5.4,0.8,1,H
Auckland, Sky Tower,20220114:2000,61,9.3,4.7,1.0,1,H
Auckland, Sky Tower,20220114:2100,68,9.3,5.6,1.2,1,H
Auckland, Sky Tower,20220114:2200,72,9.6,4.1,1.0,1,H
Auckland, Sky Tower,20220114:2300,78,7.2,5.3,1.5,1,H
Auckland, Sky Tower,20220115:0000,83,5.9,4.8,0.8,1,H
Auckland, Sky Tower,20220115:0100,90,5.9,3.1,0.4,1,H
Auckland, Sky Tower,20220115:0200,101,5.7,8.6,1.0,1,H
Auckland, Sky Tower,20220115:0300,98,7.5,4.1,0.6,1,H
Auckland, Sky Tower,20220115:0400,92,7.9,3.8,0.3,1,H
Auckland, Sky Tower,20220115:0500,92,7.4,2.5,0.4,1,H
Auckland, Sky Tower,20220115:0600,95,7.0,4.4,0.4,1,H
Auckland, Sky Tower,20220115:0700,102,5.6,7.9,0.8,1,H
Auckland, Sky Tower,20220115:0800,102,4.1,18.6,1.7,1,H
Auckland, Sky Tower,20220115:0900,94,5.6,14.8,2.1,1,H
Auckland, Sky Tower,20220115:1000,78,9.0,4.9,1.1,1,H
Auckland, Sky Tower,20220115:1100,72,9.1,6.5,1.3,1,H
Auckland, Sky Tower,20220115:1200,76,9.6,5.1,1.4,1,H
Auckland, Sky Tower,20220115:1300,76,8.0,5.0,1.1,1,H
Auckland, Sky Tower,20220115:1400,75,8.0,6.1,1.3,1,H
Auckland, Sky Tower,20220115:1500,79,8.4,4.3,1.0,1,H
Auckland, Sky Tower,20220115:1600,67,7.9,6.5,1.2,1,H
Auckland, Sky Tower,20220115:1700,71,8.8,5.3,1.2,1,H
Auckland, Sky Tower,20220115:1800,73,9.8,4.5,1.0,1,H
Auckland, Sky Tower,20220115:1900,71,7.5,4.6,1.0,1,H
Auckland, Sky Tower,20220115:2000,67,8.2,6.4,1.2,1,H
Auckland, Sky Tower,20220115:2100,73,8.4,3.9,0.8,1,H
Auckland, Sky Tower,20220115:2200,74,7.8,4.1,0.8,1,H
Auckland, Sky Tower,20220115:2300,81,5.6,8.3,1.2,1,H
Auckland, Sky Tower,20220116:0000,98,3.6,6.5,0.8,1,H
Auckland, Sky Tower,20220116:0100,102,4.8,15.0,1.5,1,H
Auckland, Sky Tower,20220116:0200,101,5.0,14.2,1.7,1,H
Auckland, Sky Tower,20220116:0300,108,2.6,20.9,1.4,1,H
Auckland, Sky Tower,20220116:0400,109,2.2,19.6,0.9,1,H
Auckland, Sky Tower,20220116:0500,109,4.1,14.6,0.9,1,H
Auckland, Sky Tower,20220116:0600,102,6.5,10.9,1.2,1,H
Auckland, Sky Tower,20220116:0700,106,5.8,11.5,0.8,1,H
Auckland, Sky Tower,20220116:0800,115,2.8,32.2,1.4,1,H
Auckland, Sky Tower,20220116:0900,135,2.2,46.2,1.2,1,H
Auckland, Sky Tower,20220116:1000,101,3.3,37.8,1.7,1,H
