
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
Auckland, North Shore Albany Ews,20221030:2259,0.3,24,D
Auckland, North Shore Albany Ews,20221031:2259,4.0,24,D
Auckland, North Shore Albany Ews,20221101:2259,9.3,24,D
Auckland, North Shore Albany Ews,20221102:2259,12.3,24,D
Auckland, North Shore Albany Ews,20221103:2259,0.3,24,D
Auckland, North Shore Albany Ews,20221104:2259,10.8,24,D
Auckland, North Shore Albany Ews,20221105:2259,9.8,24,D
Auckland, North Shore Albany Ews,20221106:2259,9.0,24,D
Auckland, North Shore Albany Ews,20221107:2259,8.4,24,D
Auckland, North Shore Albany Ews,20221108:2259,0.0,24,D
Auckland, North Shore Albany Ews,20221109:2259,5.2,24,D
Auckland, North Shore Albany Ews,20221110:2259,4.4,24,D
Auckland, North Shore Albany Ews,20221111:2259,0.1,24,D
Auckland, North Shore Albany Ews,20221112:2259,9.2,24,D
Auckland, North Shore Albany Ews,20221113:2259,6.8,24,D
Auckland, North Shore Albany Ews,20221114:2259,8.4,24,D
Auckland, North Shore Albany Ews,20221115:2259,5.4,24,D
Auckland, North Shore Albany Ews,20221116:2259,9.6,24,D
Auckland, North Shore Albany Ews,20221117:2259,0.2,24,D
Auckland, North Shore Albany Ews,20221118:2259,0.9,24,D
Auckland, North Shore Albany Ews,20221119:2259,5.7,24,D
Auckland, North Shore Albany Ews,20221120:2259,5.0,24,D
Auckland, North Shore Albany Ews,20221121:2259,0.7,24,D
Auckland, North Shore Albany Ews,20221122:2259,2.7,24,D
Auckland, North Shore Albany Ews,20221123:2259,7.6,24,D
Auckland, North Shore Albany Ews,20221124:2259,7.9,24,D
Auckland, North Shore Albany Ews,20221125:2259,10.5,24,D
Auckland, North Shore Albany Ews,20221126:2259,7.0,24,D
Auckland, North Shore Albany Ews,20221127:2259,2.3,24,D
Auckland, North Shore Albany Ews,20221128:2259,10.4,24,D
Auckland, North Shore Albany Ews,20221129:2259,4.1,24,D
Auckland, North Shore Albany Ews,20221130:2259,3.2,24,D
Auckland, North Shore Albany Ews,20221201:2259,4.3,24,D
Auckland, North Shore Albany Ews,20221202:2259,6.7,24,D
Auckland, North Shore Albany Ews,20221203:2259,9.1,24,D
Auckland, North Shore Albany Ews,20221204:2259,12.7,24,D
Auckland, North Shore Albany Ews,20221205:2259,5.1,24,D
Auckland, North Shore Albany Ews,20221206:2259,4.8,24,D
Auckland, North Shore Albany Ews,20221207:2259,0.1,24,D
Auckland, North Shore Albany Ews,20221208:2259,0.9,24,D
Auckland, North Shore Albany Ews,20221209:2259,0.0,24,D
Auckland, North Shore Albany Ews,20221210:2259,2.6,24,D
Auckland, North Shore Albany Ews,20221211:2259,0.6,24,D
Auckland, North Shore Albany Ews,20221212:2259,13.0,24,D
Auckland, North Shore Albany Ews,20221213:2259,9.3,24,D
Auckland, North Shore Albany Ews,20221214:2259,0.0,24,D
Auckland, North Shore Albany Ews,20221215:2259,0.8,24,D
Auckland, North Shore Albany Ews,20221216:2259,1.3,24,D
Auckland, North Shore Albany Ews,20221217:2259,0.0,24,D
Auckland, North Shore Albany Ews,20221218:2259,5.2,24,D
Auckland, North Shore Albany Ews,20221219:2259,9.1,24,D
Auckland, North Shore Albany Ews,20221220:2259,7.3,24,D
Auckland, North Shore Albany Ews,20221221:2259,11.6,24,D
Auckland, North Shore Albany Ews,20221222:2259,9.4,24,D
Auckland, North Shore Albany Ews,20221223:2259,11.4,24,D
Auckland, North Shore Albany Ews,20221224:2259,7.1,24,D
Auckland, North Shore Albany Ews,20221225:2259,9.9,24,D
Auckland, North Shore Albany Ews,20221226:2259,6.8,24,D
Auckland, North Shore Albany Ews,20221227:2259,7.6,24,D
Auckland, North Shore Albany Ews,20221228:2259,12.0,24,D
Auckland, North Shore Albany Ews,20221229:2259,8.2,24,D
Auckland, North Shore Albany Ews,20221230:2259,12.5,24,D
Auckland, North Shore Albany Ews,20221231:2259,6.3,24,D
Auckland, North Shore Albany Ews,20230101:2259,4.8,24,D
Auckland, North Shore Albany Ews,20230102:2259,4.4,24,D
Auckland, North Shore Albany Ews,20230103:2259,1.8,24,D
Auckland, North Shore Albany Ews,20230104:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230105:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230106:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230107:2259,0.7,24,D
Auckland, North Shore Albany Ews,20230108:2259,5.8,24,D
Auckland, North Shore Albany Ews,20230109:2259,3.4,24,D
